                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.81562,                0.60936,                0.97143,                0.93607,                 0.9368,                0.96364,                0.69074,                 1.0195,                0.57859,                 1.0728,             0.00011648,             0.00011648,             0.00011648
                    132,                0.80083,                0.60209,                0.95844,                 0.9362,                0.94257,                 0.9666,                0.69477,                 1.0226,                0.57164,                 1.0724,             0.00011581,             0.00011581,             0.00011581
                    133,                0.80977,                0.61269,                0.96807,                 0.9345,                0.93968,                 0.9625,                0.68589,                 1.0363,                0.58276,                 1.0831,             0.00011514,             0.00011514,             0.00011514
                    134,                0.81609,                 0.6094,                0.96774,                0.93304,                0.94116,                0.96451,                0.68917,                 1.0323,                0.57822,                 1.0759,             0.00011446,             0.00011446,             0.00011446
                    135,                0.79011,                0.59487,                0.96071,                0.94281,                0.93396,                0.96448,                 0.6939,                 1.0204,                0.57324,                 1.0743,             0.00011379,             0.00011379,             0.00011379
                    136,                0.79304,                0.59329,                0.95978,                 0.9441,                0.93755,                0.96416,                0.69099,                 1.0174,                0.57619,                 1.0722,             0.00011312,             0.00011312,             0.00011312
                    137,                0.80179,                0.59731,                0.95571,                0.93486,                0.93811,                0.96273,                0.68899,                 1.0195,                0.57103,                 1.0761,             0.00011244,             0.00011244,             0.00011244
                    138,                0.80732,                0.61296,                0.96229,                0.93221,                0.94117,                0.96452,                 0.6903,                 1.0234,                0.57026,                 1.0776,             0.00011177,             0.00011177,             0.00011177
                    139,                0.79171,                0.59464,                0.96188,                0.93213,                 0.9395,                0.96536,                0.69474,                 1.0155,                0.56488,                 1.0662,              0.0001111,              0.0001111,              0.0001111
                    140,                0.79803,                0.60194,                0.96346,                0.93086,                0.94314,                0.96695,                0.69734,                 1.0182,                0.56854,                 1.0668,             0.00011043,             0.00011043,             0.00011043
                    141,                0.79417,                0.59352,                0.96395,                0.93708,                0.94741,                0.96665,                0.69056,                 1.0297,                0.56657,                 1.0724,             0.00010975,             0.00010975,             0.00010975
                    142,                0.79525,                0.59237,                0.96231,                0.94509,                0.94118,                 0.9666,                0.68777,                 1.0372,                0.56643,                 1.0838,             0.00010908,             0.00010908,             0.00010908
                    143,                0.79515,                0.59084,                0.95812,                 0.9446,                0.94434,                0.96502,                0.69237,                 1.0337,                0.57067,                 1.0819,             0.00010841,             0.00010841,             0.00010841
                    144,                 0.7954,                 0.5888,                0.96778,                0.95048,                 0.9406,                0.96824,                0.69587,                 1.0154,                0.56262,                 1.0763,             0.00010773,             0.00010773,             0.00010773
                    145,                0.79751,                0.59292,                0.96561,                0.93275,                 0.9468,                 0.9665,                0.69543,                 1.0195,                0.56402,                 1.0773,             0.00010706,             0.00010706,             0.00010706
                    146,                0.80007,                0.59357,                0.96101,                0.94368,                0.93708,                0.96762,                0.69629,                 1.0174,                0.56515,                 1.0713,             0.00010639,             0.00010639,             0.00010639
                    147,                0.78452,                0.58057,                0.95868,                0.94419,                0.94237,                0.96566,                0.69534,                 1.0209,                0.56122,                 1.0727,             0.00010571,             0.00010571,             0.00010571
                    148,                0.78943,                0.58523,                0.95818,                0.94209,                0.93266,                0.96335,                0.69041,                 1.0192,                 0.5647,                 1.0696,             0.00010504,             0.00010504,             0.00010504
                    149,                0.79187,                0.58865,                 0.9632,                0.94064,                0.93774,                0.96395,                0.68746,                  1.025,                0.57801,                 1.0733,             0.00010437,             0.00010437,             0.00010437
                    150,                 0.7845,                0.58719,                0.95773,                 0.9311,                0.94825,                0.96555,                0.69142,                  1.021,                0.56443,                 1.0702,             0.00010369,             0.00010369,             0.00010369
                    151,                0.79579,                0.58754,                0.96289,                0.94341,                0.93945,                 0.9659,                  0.694,                 1.0212,                0.56285,                 1.0754,             0.00010302,             0.00010302,             0.00010302
