                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 1.1021,                 1.0599,                 1.0652,                0.87644,                0.87128,                0.91547,                0.64456,                 1.0742,                0.79372,                 1.0529,             0.00014514,             0.00014514,             0.00014514
                    104,                 1.0944,                 1.0575,                 1.0642,                0.87637,                0.87129,                0.91395,                0.64302,                 1.0737,                0.78792,                 1.0457,             0.00014457,             0.00014457,             0.00014457
                    105,                 1.1139,                 1.0744,                 1.0685,                0.90126,                0.85598,                0.91521,                0.64458,                 1.0809,                0.78059,                 1.0484,             0.00014399,             0.00014399,             0.00014399
                    106,                 1.0907,                 1.0433,                 1.0591,                0.89204,                0.86146,                0.91362,                0.64295,                 1.0793,                0.78779,                 1.0464,             0.00014341,             0.00014341,             0.00014341
                    107,                 1.0904,                 1.0541,                  1.063,                0.89323,                0.85723,                0.91427,                0.63978,                 1.0783,                0.79582,                 1.0545,             0.00014283,             0.00014283,             0.00014283
                    108,                 1.0876,                 1.0379,                 1.0672,                0.88733,                0.86567,                0.91574,                0.64394,                 1.0743,                0.78617,                 1.0481,             0.00014226,             0.00014226,             0.00014226
                    109,                 1.1098,                 1.0693,                 1.0678,                0.90315,                0.86359,                0.91932,                0.64533,                  1.081,                0.78234,                 1.0555,             0.00014168,             0.00014168,             0.00014168
                    110,                 1.0835,                 1.0406,                 1.0567,                0.90964,                 0.8516,                0.91785,                0.64432,                 1.0751,                 0.7827,                 1.0486,              0.0001411,              0.0001411,              0.0001411
                    111,                 1.0905,                 1.0355,                 1.0562,                0.88868,                0.85642,                0.91823,                0.64121,                 1.0753,                0.78475,                 1.0461,             0.00014053,             0.00014053,             0.00014053
                    112,                 1.0895,                 1.0469,                 1.0646,                0.90388,                0.87245,                 0.9203,                0.64403,                 1.0756,                0.77359,                 1.0474,             0.00013995,             0.00013995,             0.00013995
                    113,                 1.0884,                 1.0338,                 1.0604,                0.90355,                0.86349,                0.92173,                0.65038,                 1.0687,                0.77053,                 1.0405,             0.00013937,             0.00013937,             0.00013937
                    114,                 1.0895,                 1.0276,                 1.0563,                0.88227,                0.88324,                0.91941,                0.64801,                 1.0688,                0.77416,                 1.0446,              0.0001388,              0.0001388,              0.0001388
                    115,                 1.0964,                 1.0426,                 1.0676,                 0.8978,                 0.8708,                0.92002,                0.64847,                 1.0748,                0.77179,                 1.0449,             0.00013822,             0.00013822,             0.00013822
                    116,                 1.0936,                 1.0446,                 1.0645,                0.89972,                0.86497,                 0.9176,                0.65143,                 1.0675,                0.78106,                 1.0455,             0.00013764,             0.00013764,             0.00013764
                    117,                 1.0785,                 1.0185,                 1.0601,                0.90446,                0.86834,                0.92247,                0.64902,                 1.0743,                0.77225,                 1.0437,             0.00013706,             0.00013706,             0.00013706
                    118,                 1.0795,                 1.0235,                 1.0572,                0.90332,                0.87944,                0.92345,                0.65414,                 1.0618,                0.76887,                 1.0432,             0.00013649,             0.00013649,             0.00013649
                    119,                 1.0846,                 1.0348,                   1.06,                0.91044,                 0.8738,                0.92528,                0.65063,                 1.0596,                0.76433,                 1.0418,             0.00013591,             0.00013591,             0.00013591
                    120,                 1.0835,                 1.0245,                 1.0563,                0.90665,                0.86941,                0.92324,                0.64667,                 1.0761,                0.77744,                 1.0518,             0.00013533,             0.00013533,             0.00013533
                    121,                  1.087,                   1.02,                 1.0547,                0.90531,                0.87421,                 0.9262,                0.65128,                  1.064,                 0.7588,                 1.0449,             0.00013476,             0.00013476,             0.00013476
                    122,                 1.0745,                 1.0128,                 1.0609,                0.89938,                0.87857,                0.92045,                0.64954,                 1.0695,                0.76333,                  1.045,             0.00013418,             0.00013418,             0.00013418
                    123,                 1.0981,                 1.0361,                 1.0645,                0.91179,                0.86985,                0.92791,                0.64968,                 1.0683,                0.76866,                 1.0446,              0.0001336,              0.0001336,              0.0001336
                    124,                 1.0943,                 1.0275,                 1.0636,                0.90587,                0.87358,                0.92286,                0.64737,                 1.0767,                0.77313,                 1.0506,             0.00013303,             0.00013303,             0.00013303
                    125,                 1.0755,                  1.015,                 1.0517,                0.90307,                0.87983,                0.92473,                0.65198,                 1.0692,                0.76027,                 1.0423,             0.00013245,             0.00013245,             0.00013245
                    126,                 1.0721,                0.99858,                 1.0486,                0.89252,                 0.8825,                0.92518,                0.65409,                 1.0581,                0.75429,                 1.0402,             0.00013187,             0.00013187,             0.00013187
                    127,                 1.0803,                 1.0063,                 1.0542,                0.90716,                0.87326,                0.92618,                0.65183,                 1.0644,                0.75302,                 1.0437,             0.00013129,             0.00013129,             0.00013129
                    128,                 1.0811,                  1.009,                 1.0593,                0.90411,                0.88093,                0.92643,                 0.6535,                  1.063,                0.75279,                 1.0401,             0.00013072,             0.00013072,             0.00013072
                    129,                 1.0608,                0.98411,                 1.0474,                 0.9118,                0.87366,                0.92999,                0.65493,                 1.0614,                0.74591,                 1.0388,             0.00013014,             0.00013014,             0.00013014
                    130,                 1.0823,                 1.0046,                 1.0576,                0.89217,                0.88936,                0.92825,                0.65423,                 1.0614,                0.75169,                 1.0395,             0.00012956,             0.00012956,             0.00012956
                    131,                 1.0767,                  1.003,                 1.0514,                 0.9082,                0.87701,                0.92831,                0.65411,                 1.0612,                0.76376,                 1.0442,             0.00012899,             0.00012899,             0.00012899
                    132,                 1.0741,                0.99561,                 1.0493,                0.89062,                 0.8857,                0.92683,                0.65398,                 1.0608,                0.74701,                 1.0371,             0.00012841,             0.00012841,             0.00012841
                    133,                 1.0805,                 1.0009,                 1.0565,                0.90038,                0.88125,                0.92796,                0.65576,                 1.0574,                 0.7502,                  1.042,             0.00012783,             0.00012783,             0.00012783
                    134,                 1.0763,                0.98018,                 1.0537,                0.90475,                0.87923,                0.92616,                0.65131,                 1.0618,                0.76132,                 1.0409,             0.00012726,             0.00012726,             0.00012726
